,time,KWH
315,2006/1/15 3:59,3622.5
316,2006/1/15 4:59,3470
317,2006/1/15 5:59,3442.5
318,2006/1/15 6:59,3835
319,2006/1/15 7:59,3832.5
320,2006/1/15 8:59,3810
321,2006/1/15 9:59,3782.5
322,2006/1/15 10:59,3732.5
323,2006/1/15 11:59,3687.5
324,2006/1/15 12:59,3495
325,2006/1/15 13:59,3592.5
326,2006/1/15 14:59,3850
327,2006/1/15 15:59,3785
328,2006/1/15 16:59,3832.5
329,2006/1/15 17:59,3712.5
330,2006/1/15 18:59,3697.5
331,2006/1/15 19:59,3610
332,2006/1/15 20:59,3450
333,2006/1/15 21:59,3652.5
334,2006/1/15 22:59,3860
335,2006/1/15 23:59,3772.5
336,2006/1/16 0:59,3792.5
337,2006/1/16 1:59,3747.5
338,2006/1/16 2:59,3702.5
339,2006/1/16 3:59,3607.5
340,2006/1/16 4:59,3455
341,2006/1/16 5:59,3420
342,2006/1/16 6:59,3775
343,2006/1/16 7:59,3742.5
344,2006/1/16 8:59,3780
345,2006/1/16 9:59,3690
346,2006/1/16 10:59,3417.5
347,2006/1/16 11:59,2745
348,2006/1/16 12:59,3552.5
349,2006/1/16 13:59,3627.5
350,2006/1/16 14:59,3895
351,2006/1/16 15:59,3857.5
352,2006/1/16 16:59,3847.5
353,2006/1/16 17:59,3750
354,2006/1/16 18:59,3695
355,2006/1/16 19:59,3580
356,2006/1/16 20:59,3477.5
357,2006/1/16 21:59,3660
358,2006/1/16 22:59,3857.5
359,2006/1/16 23:59,3790
360,2006/1/17 0:59,3790
361,2006/1/17 1:59,3775
362,2006/1/17 2:59,3692.5
363,2006/1/17 3:59,3582.5
364,2006/1/17 4:59,3420
365,2006/1/17 5:59,3400
366,2006/1/17 6:59,3705
367,2006/1/17 7:59,3757.5
368,2006/1/17 8:59,3857.5
369,2006/1/17 9:59,3772.5
370,2006/1/17 10:59,3747.5
371,2006/1/17 11:59,3770
372,2006/1/17 12:59,3570
